"manager_id","club_id","season"
"187","146","1992/93"
"187","146","1993/94"
"198","146","2009/10"
"198","146","2010/11"
"198","146","2011/12"
"198","146","2012/13"
"199","146","2007/08"
"200","146","2012/13"
"201","146","2004/05"
"201","146","2005/06"
"201","146","2006/07"
"202","146","1995/96"
"203","146","1993/94"
"203","146","1994/95"
"204","146","1993/94"
"219","146","2002/03"
"219","146","2003/04"
"219","146","2004/05"
"247","146","2008/09"
"247","146","2009/10"
"301","146","2013/14"
"301","146","2014/15"
"301","146","2015/16"
"80","147","2018/19"
"80","147","2019/20"
"80","147","2020/21"
"80","147","2021/22"
"86","147","2016/17"
"86","147","2017/18"
"86","147","2018/19"
"89","147","2013/14"
"205","147","2014/15"
"205","147","2015/16"
"206","147","2013/14"
"207","147","1992/93"
"207","147","1993/94"
"207","147","1994/95"
"207","147","1995/96"
"207","147","1996/97"
"207","147","1997/98"
"207","147","1998/99"
"207","147","1999/00"
"207","147","2000/01"
"207","147","2001/02"
"207","147","2002/03"
"207","147","2003/04"
"207","147","2004/05"
"207","147","2005/06"
"207","147","2006/07"
"207","147","2007/08"
"207","147","2008/09"
"207","147","2009/10"
"207","147","2010/11"
"207","147","2011/12"
"207","147","2012/13"
"186","148","2000/01"
"208","148","2016/17"
"209","148","2016/17"
"210","148","2006/07"
"210","148","2007/08"
"210","148","2008/09"
"211","148","1992/93"
"214","148","2001/02"
"214","148","2002/03"
"214","148","2003/04"
"214","148","2004/05"
"214","148","2005/06"
"299","148","1995/96"
"299","148","1996/97"
"299","148","1998/99"
"299","148","1999/00"
"299","148","2000/01"
"81","149","2019/20"
"81","149","2020/21"
"81","149","2021/22"
"87","149","2007/08"
"124","149","2008/09"
"124","149","2010/11"
"160","149","2015/16"
"160","149","2017/18"
"160","149","2018/19"
"197","149","1996/97"
"197","149","1997/98"
"197","149","1998/99"
"212","149","2008/09"
"213","149","2004/05"
"213","149","2014/15"
"214","149","2015/16"
"215","149","2005/06"
"215","149","2006/07"
"216","149","1999/00"
"216","149","2000/01"
"216","149","2001/02"
"216","149","2002/03"
"216","149","2003/04"
"216","149","2004/05"
"217","149","1996/97"
"218","149","1998/99"
"218","149","1999/00"
"219","149","1993/94"
"219","149","1994/95"
"219","149","1995/96"
"219","149","1996/97"
"219","149","2007/08"
"219","149","2008/09"
"220","149","2004/05"
"220","149","2005/06"
"221","149","2008/09"
"289","149","2006/07"
"289","149","2007/08"
"296","149","2010/11"
"296","149","2011/12"
"296","149","2012/13"
"296","149","2013/14"
"298","149","1999/00"
"111","150","1993/94"
"111","150","1994/95"
"124","150","2012/13"
"124","150","2013/14"
"166","150","1992/93"
"222","150","2019/20"
"222","150","2021/22"
"223","150","2015/16"
"224","150","2013/14"
"225","150","2004/05"
"253","150","2011/12"
"253",121,"2012/13"
"300","150","1994/95"
"193","151","1998/99"
"195","151","1996/97"
"195","151","1998/99"
"201","151","1996/97"
"226","151","1994/95"
"226","151","1995/96"
"226","151","1996/97"
"227","151","1992/93"
"228","151","1998/99"
"165","152","1992/93"
"165","152","1993/94"
"229","153","2008/09"
"229","153","2009/10"
"230","153","2008/09"
"231","153","2005/06"
"231","153","2008/09"
"232","153","2004/05"
"232","153","2005/06"
"233","153","2004/05"
"237","153","2003/04"
